FunctionalLoc,resources_id,id
1800-1811-C5A1 GUDANG META,4,227
1800-1811-B2L2-P210-R211-GL04 GL04 GLOBE VALVE REAKTOR R211,6,228
1800-1811-B2L2-P210-R211-GL03 GL03 GLOBE VALVE REAKTOR R211,6,229
1800-1811-B2L2-P210-R211-GL02 GL02 GLOBE VALVE REAKTOR R211,6,230
1800-1811-B2L2-P210-R214-GL01 GL01 GLOBE VALVE REAKTOR R214,6,231
1800-1811-B2L2-P210-R213-GL01 GL01 GLOBE VALVE REAKTOR R213,6,232
1800-1811-B2L2-P210-R212-GL01 GL01 GLOBE VALVE REAKTOR R212,6,233
1800-1811-B2L2-P210-R211-GL01 GL01 GLOBE VALVE REAKTOR R211,6,234
1800-1811-A1F1-A1L4 GEDUNG OFFICE LANTAI 4,13,235
1800-1811-A1F1-A1L3 GEDUNG OFFICE LANTAI 3,13,236
1800-1811-A1F1-A1L2 GEDUNG OFFICE LANTAI 2,13,237
1800-1811-A1F1-A1L1 GEDUNG OFFICE LANTAI 1,13,238
1800-1811-A1F1 GEDUNG KANTOR PACI,13,239
1800-1811-B2L2-P210-G211 G211 HOIST CRANE 3 T P210,6,240
1800-1811-B1H1-P210-G211 G211 HOIST CRANE 2 TON P210,7,241
"1800-1811-B1H1-P110-G111 G111 HOIST CRANE 3,2 TON P110",7,242
1800-1811-B2L2-P210-R211-FT04 FT04 FLOW TRANSMITTER REAKTOR R211,6,243
1800-1811-B2L2-P210-R211-FT03 FT03 FLOW TRANSMITTER REAKTOR R211,6,244
1800-1811-B2L2-P210-R211-FT02 FT02 FLOW TRANSMITTER REAKTOR R211,6,245
1800-1811-B2L2-P230-V231-FT01 FT01 FLOW TRANSMITTER TANKI V231,6,246
1800-1811-B2L2-P210-R211-FT01 FT01 FLOW TRANSMITTER REAKTOR R211,6,247
1800-1811-B2L2-P230-V234-FT01 FT01 FLOW TRANSMITTER MIXING V234,6,248
1800-1811-B2L2-P230-P233-FJ01 FJ01 FLEXIBLE JOINT POMPA P233,6,249
1800-1811-B2L2-P230-P232-FJ01 FJ01 FLEXIBLE JOINT POMPA P232,6,250
1800-1811-B2L2-P230-P231-FJ01 FJ01 FLEXIBLE JOINT POMPA P231,6,251
1800-1811-B2L2-P220-P222-FJ01 FJ01 FLEXIBLE JOINT POMPA P222,6,252
1800-1811-B2L2-P220-P221-FJ01 FJ01 FLEXIBLE JOINT POMPA P221,6,253
1800-1811-B2L2-P220-F223 F223 FILTER PRESS P220,6,254
1800-1811-B2L2-P220-F222 F2212/F222 FILTER PRESS P220,6,255
1800-1811-B2L2-P220-F221 F2211/F221 FILTER PRESS P220,6,256
1800-1811-B1H1-P120-F121 F121 FILTER PRESS HINCO P120,7,257
1800-1811-CTMR CUSTOMER PACI TANGERANG,14,258
1800-1811-B2L2-P230-P233-CK01 CK01 CHECK VALVE POMPA P233,6,259
1800-1811-B2L2-P230-P232-CK01 CK01 CHECK VALVE POMPA P232,6,260
1800-1811-B2L2-P230-P231-CK01 CK01 CHECK VALVE POMPA P231,6,261
1800-1811-B2L2-P220-P222-CK01 CK01 CHECK VALVE POMPA P222,6,262
1800-1811-B2L2-P220-P221-CK01 CK01 CHECK VALVE POMPA P221,6,263
1800-1811-B2L2-P210-R211-BL16 BL16 BALL VALVE REAKTOR R211,6,264
1800-1811-B2L2-P210-R211-BL15 BL15 BALL VALVE REAKTOR R211,6,265
1800-1811-B2L2-P230-V231-BL14 BL14 BALL VALVE TANKI V231,6,266
1800-1811-B2L2-P210-R211-BL14 BL14 BALL VALVE REAKTOR R211,6,267
1800-1811-B2L2-P230-V231-BL13 BL13 BALL VALVE TANKI V231,6,268
1800-1811-B2L2-P210-R211-BL13 BL13 BALL VALVE REAKTOR R211,6,269
1800-1811-B2L2-P230-V231-BL12 BL12 BALL VALVE TANKI V231,6,270
1800-1811-B2L2-P210-R211-BL12 BL12 BALL VALVE REAKTOR R211,6,271
1800-1811-B2L2-P230-P231-BL12 BL12 BALL VALVE POMPA P231,6,272
1800-1811-B2L2-P230-V231-BL11 BL11 BALL VALVE TANKI V231,6,273
1800-1811-B2L2-P210-R211-BL11 BL11 BALL VALVE REAKTOR R211,6,274
1800-1811-B2L2-P230-P231-BL11 BL11 BALL VALVE POMPA P231,6,275
1800-1811-B2L2-P230-V231-BL10 BL10 BALL VALVE TANKI V231,6,276
1800-1811-B2L2-P210-R211-BL10 BL10 BALL VALVE REAKTOR R211,6,277
1800-1811-A1F1-L1HS AREA HSE,10,278
1800-1811-B1H1 AREA PRODUKSI HINCO ALPHA,7,279
1800-1811-B1H1-P110-A111 A111 AGITATOR HINCO P110,7,280
1800-1811-B1H1-P210-S211-A211 A211 AGITATOR SODA ASH STORAGE TANK P210,7,281
1800-1811-B1H1-P220-A221 A221 AGITATOR COOLING POND P220,7,282
1800-1811-B1H1-P220-A222 A222 AGITATOR COOLING POND P220,7,283
1800-1811-B1H1-P220-A223 A223 AGITATOR COOLING POND P220,7,284
1800-1811-B1H1-P220-A224 A224 AGITATOR COOLING POND P220,7,285
1800-1811-B1H1-P230-B231 B231 SCRUBBER BLOWER P230,7,286
1800-1811-B2L2 AREA PRODUKSI LIQUID 1 PACV,6,287
1800-1811-B2L2-P210-A211 A211 AGITATOR PACV P210,6,288
1800-1811-B2L2-P210-A212 A212 AGITATOR PACV P210,6,289
1800-1811-B2L2-P210-A213 A213 AGITATOR PACV P210,6,290
1800-1811-B2L2-P210-R211-BF01 BF01 BUTTERFLY VALVE REAKTOR R211,6,291
1800-1811-B2L2-P210-R211-BL01 BL01 BALL VALVE REAKTOR R211,6,292
1800-1811-B2L2-P210-R211-BL02 BL02 BALL VALVE REAKTOR R211,6,293
1800-1811-B2L2-P210-R211-BL03 BL03 BALL VALVE REAKTOR R211,6,294
1800-1811-B2L2-P210-R211-BL04 BL04 BALL VALVE REAKTOR R211,6,295
